jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-534,Request Process,"**Timeline Management:**
- Monitor 15-business-day deadline for determination
- Provide written noti","**Timeline Management:**
- Monitor 15-business-day deadline for determination
- Provide written notice if extension needed
- Communicate with requester about status and fees","**Timeline Management:**
- Monitor 15-business-day deadline for determination
- Provide written notice if extension needed
- Communicate with requester about status and fees",Extracted from Phase 2: Processing,2025-09-26T13:52:18.293894
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-534,Response Timeline,"### Phase 3: Initial Response (within 15 business days)
**Agency Must Provide:**
- Written determina","### Phase 3: Initial Response (within 15 business days)
**Agency Must Provide:**
- Written determination on request compliance
- Access to public records for inspection
- Copies of records upon payment of applicable fees
- Written denial with specific exemption cited under DC Code § 2-534
- Fee estimate and waiver determination if requested","### Phase 3: Initial Response (within 15 business days)
**Agency Must Provide:**
- Written determination on request compliance
- Access to public records for inspection
- Copies of records upon payment of applicable fees
- Written denial with specific exemption cited under DC Code § 2-534
- Fee esti",Extracted from Phase 3: Initial Response (within 15 business days),2025-09-26T13:52:18.293913
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,"### Phase 5: Judicial Enforcement
**DC Superior Court Action:**","### Phase 5: Judicial Enforcement
**DC Superior Court Action:**",No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293931
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,: Court may order compliance with DC FOIA,: Court may order compliance with DC FOIA,: Court may order compliance with DC FOIA,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293936
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,: Review of agency decision and application of exemptions,: Review of agency decision and application of exemptions,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293942
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,": Mandamus, injunctive relief, attorney fees",": Mandamus, injunctive relief, attorney fees",No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293947
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,: Court order requiring disclosure,: Court order requiring disclosure,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293953
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,: Recovery possible for successful enforcement,: Recovery possible for successful enforcement,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293960
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Appeal Rights,: Clarification of FOIA obligations,: Clarification of FOIA obligations,: Clarification of FOIA obligations,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.293966
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Internal Appeal,Agency head or designee review,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.293999
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Legislative Oversight,DC Council oversight of compliance,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.294000
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Political Pressure,"Contact council members, media attention",No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.294001
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Mayor's Office,Executive branch guidance and enforcement,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.294002
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,"### Judicial Remedies
**Available Relief:**","### Judicial Remedies
**Available Relief:**",No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.294018
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Court order requiring disclosure,: Court order requiring disclosure,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.294023
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Clarification of FOIA obligations,: Clarification of FOIA obligations,: Clarification of FOIA obligations,Extracted from Judicial Remedies,2025-09-26T13:52:18.294029
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Recovery of reasonable fees for successful enforcement,: Recovery of reasonable fees for successful enforcement,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.294045
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,"**Strategic Considerations:**
- Exhaust administrative appeals for stronger court position
- Documen","**Strategic Considerations:**
- Exhaust administrative appeals for stronger court position
- Document pattern of non-compliance or excessive fees
- Preserve evidence of public interest in disclosure
- Consider media attention to pressure compliance",No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.294046
