Jurisdiction,Statute Name,Citation,Version,Verification Date,Response Timeline (days),Has 2025 Amendments,Amendment Summary,Attorney General Review Available,Mandatory Attorney Fees,Criminal Penalties,Key Features,Last Statutory Update
North Carolina Public Records,North Carolina Public Records Act,": NCGS Chapter 132 (1975, amended through 2023)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2023 (body-worn camera provisions updated)
North Dakota Open Records,North Dakota Open Records Law,": North Dakota Century Code Chapter 44-04 (1957, amended through 2025)
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2025 (no significant amendments identified)
Ohio PRL,Ohio Public Records Law,": Ohio Revised Code § 149.43
-",v0.11,2025-09-26,,Yes,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available, 2025 Amendments",2024 (HB 462 - pre-litigation notice requirements)
Oklahoma Open Records,Oklahoma Open Records Act,": Oklahoma Statutes Title 51 (1985, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2025 (no significant amendments identified)
Oregon Public Records,Oregon Public Records Law,": Oregon Revised Statutes (ORS) Chapter 192 (1973, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2025 (Portland rules update effective January 2025)
Pennsylvania RTKL,Pennsylvania Right-to-Know Law,": 65 Pa.C.S. §§ 67.101 et seq.
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2023 (Act 65 - law enforcement exemption modifications)
Rhode Island APRA,Rhode Island Access to Public Records Act (APRA),": Rhode Island General Laws Chapter 38-2 (1979, amended through 2025)
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2025 (no significant amendments identified)
South Carolina FOIA,South Carolina Freedom of Information Act (FOIA),": South Carolina Code Title 30, Chapter 4 (1978, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2025 (no significant amendments identified)
South Dakota Open Records,South Dakota Open Records Law,": South Dakota Codified Laws Chapter 1-27 (1978, amended through 2025)
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2025 (no significant amendments identified)
Tennessee Public Records,Tennessee Public Records Act,": TCA § 10-7-503 et seq. (1957, amended through 2023)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2023 (privacy protection amendments)
Texas PIA,Texas Public Information Act,"(Current through September 1, 2025)

### Core Principle
Public information belongs to the people and governmental bodies are trustees of this information.

### 2025 Legislative Updates - HB 4219 (EFFECTIVE SEPTEMBER 1, 2025)
-",v0.11,2025-09-26,10,Yes,"- 10-Day ""No Records"" Notification: NEW mandatory written response for no records determinations - Previous AG Determinations Rule: Agencies cannot re-litigate identical exemption claims - Expedited Notification: 10 business days for citing previous AG rulings - Expanded Contracting Transparency: Co...",Yes,Yes,Yes,"AG Review Available, Attorney Fees/Costs Available, Criminal Penalties, 2025 Amendments","September 1, 2025 (HB 4219 effective date)"
Utah GRAMA,Utah Government Records Access and Management Act (GRAMA),": Utah Code Annotated § 63G-2 (1991, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2025 (SB277 amendments pending)
Vermont Public Records,Vermont Public Records Act,": Vermont Statutes Title 1, Chapter 5 (1977, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available",2025 (2-day response timeline confirmed)
Virginia FOIA,Virginia Freedom of Information Act,"(Current through 2025 amendments)

### 2025 Legislative Changes
-",v0.11,2025-09-26,5,Yes,"### Thirteen Minor Technical Amendments to Virginia FOIA Overview - Source: Virginia FOIA Council 2025 Update Document - Reference: [2025 FOIA Legislative Updates](https://foiacouncil.dls.virginia.gov/2025updt.pdf) - Nature: Technical clean-up and procedural enhancements - Effective Date: July 1, 20...",No,Yes,No,"Attorney Fees/Costs Available, 2025 Amendments",
Washington PRA,Washington Public Records Act,": RCW 42.56 et seq.
-",v0.11,2025-09-26,,Yes,"Voice Alteration Technology: - Agencies must acquire or develop voice alteration capabilities - Technical standards left to agency discretion - Transcription services may be used as alternative - Implementation timeline: Effective immediately for requests received after July 27, 2025 Best Practices ...",Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available, 2025 Amendments","July 27, 2025 (workplace investigation voice alteration requirements)"
West Virginia FOIA,West Virginia Freedom of Information Act (FOIA),": West Virginia Code Chapter 29B (1977, amended through 2025)
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2025 (no significant amendments identified)
Wisconsin Open Records,Wisconsin Open Records Law,": Wis. Stat. §§ 19.32-19.39 (1973, amended through 2025)
-",v0.11,2025-09-26,,No,,Yes,Yes,No,"AG Review Available, Attorney Fees/Costs Available","2025 Wisconsin Acts (effective August 13, 2025 - see 2025 Clarifications section)"
Wyoming Public Records,Wyoming Public Records Act,": Wyoming Statutes §§ 16-4-201 through 16-4-205 (1982, amended through 2025)
-",v0.11,2025-09-26,,No,,No,Yes,No,Attorney Fees/Costs Available,2025 (legislative review ongoing)
