state,type,severity,description,mechanism
California,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Colorado,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"**Within 3 Business Days:**
- Allow inspection of records
- Provide copies upon payment of fees
- Deny request with specific exemption citations
- Notify of need for additional time with explanation

### 2024 Electronic Records Enhancements
- **Digital Format**: Required when records exist electronically
- **Search Capabilities**: Enhanced requirements for electronic searches
- **Body Camera Video**: New timeline provisions for law enforcement recordings
- **Metadata**: Clarified requirements fo"
Colorado,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Colorado,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Colorado,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- Allow inspection of records
- Provide copies upon payment of fees
- Deny request with specific exemption citations
- Notify of need for additional time with explanation

### 2024 Electronic Records Enhancements
- **Digital Format**: Required when records exist electronically
- **Search Capabilities**: Enhanced requirements for electronic searches
- **Body Camera Video**: New timeline provisions for law enforcement recordings
- **Metadata**: Clarified requirements for electronic record integrit"
Colorado,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Connecticut,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - CGS § 1-200: Definitions and legislative intent
  - CGS § 1-210: Public access rights and timelines
  - CGS § 1-212: Fee provisions
  - CGS § 1-214: Exemptions from disclosure
  - CGS § 1-206: Enforcement and attorney fees

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Records**: Any recorded data or information relating to public business
- **Business Days**: Monday through Friday, excluding state holi"
Connecticut,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Connecticut,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using Connecticut General Statutes § 1-200 et seq. and Freedom of Information Commission guidance  
**LAST STATUTORY UPDATE**: 2025 (police complaint exemption provisions updated)

---

## Legal Framework

### Primary Statute
- **Connecticut FOIA**: Connecticut General Statutes (CGS) § 1-200 through § 1-241 (1975, amended through 2025)
- **Key Provisions**:
  - CGS § 1-200: Definitions and legislative int"
Connecticut,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
DC,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Recovery possible for successful enforcement
- **Declaratory Judgment**: Clarification of FOIA obligations

---

## Classification System and Exemptions

### General Exemptions (DC Code § 2-534)
**Personal Privacy**: Information constituting clearly unwarranted invasion of personal privacy
**Law Enforcement**: Records compiled for law enforcement purposes
**National Security**: Information affecting national defense or forei"
DC,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - DC Code § 2-532: Definitions and legislative intent
  - DC Code § 2-533: Public access rights and timelines
  - DC Code § 2-535: Fee provisions and waivers
  - DC Code § 2-534: Exemptions from disclosure

### Definitions
- **Public Body**: All DC government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or maintained by a public body
- **Business Days**: Monday through Friday, excluding District holidays
- **Custodian**: Offici"
DC,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
DC,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - DC Code § 2-533: Public access rights and timelines
  - DC Code § 2-535: Fee provisions and waivers
  - DC Code § 2-534: Exemptions from disclosure

### Definitions
- **Public Body**: All DC government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or maintained by a public body
- **Business Days**: Monday through Friday, excluding District holidays
- **Custodian**: Official designated to maintain and provide access to records
"
DC,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Delaware,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Del. Code tit. 29, § 10001: Definitions and legislative intent
  - Del. Code tit. 29, § 10003: Public access rights and timelines
  - Del. Code tit. 29, § 10006: Fee provisions
  - Del. Code tit. 29, § 10002: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any information, regardless of physical form, prepared or owned by a public body
- **Business Days**: Monday throug"
Delaware,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Del. Code tit. 29, § 10003: Public access rights and timelines
  - Del. Code tit. 29, § 10006: Fee provisions
  - Del. Code tit. 29, § 10002: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any information, regardless of physical form, prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official design"
Delaware,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Florida,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using Florida Statutes and AG opinions  
**LAST STATUTORY UPDATE**: 2024 (HB 1291 - law enforcement exemptions clarification)

---

## Legal Framework

### Primary Statutes
- **Chapter 119, Florida Statutes**: Public Records Law
- **Chapter 286, Florida Statutes**: Government in the Sunshine Law (meetings)
- **Constitutional Foundation**: Article I, Section 24, Florida Constitution"
Florida,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"- **Public Record**: All documents, papers, letters, maps, books, tapes, photographs, films, sound recordings, data processing software, or other material, regardless of physical form
- **Agency**: State, county, district, authority, or municipal officer, department, division, board, bureau, commission, or other separate unit of government
- **Custodian**: Elected or appointed official charged with responsibility for records

### Broad Construction Mandate
- **Liberal Construction**: All exempti"
Florida,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Florida,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using Florida Statutes and AG opinions  
**LAST STATUTORY UPDATE**: 2024 (HB 1291 - law enforcement exemptions clarification)

---

## Legal Framework

### Primary Statutes
- **Chapter 119, Florida Statutes**: Public Records Law
- **Chapter 286, Florida Statutes**: Government in the Sunshine Law (meetings)
- **Constitutional Foundation**: Article I, Section 24, Florida Constitution"
Florida,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Georgia,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Charges (O.C.G.A. § 50-18-71(c))
- **Search and Retrieval**: Actual cost of personnel time
- **Copying Costs**: Reasonable charges for reproduction
- **Postage**: Actual mailing costs
- **Electronic Media**: Cost of storage devices

### Standard Fee Rates
- **Personnel Time**: Actual hourly rate of employee performing work"
Georgia,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Georgia,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using O.C.G.A. § 50-18-70 and AG guidance  
**LAST STATUTORY UPDATE**: 2024 (HB 1130 - body-worn camera exemptions)

---

## Legal Framework

### Primary Statute
- **Georgia Open Records Act**: O.C.G.A. § 50-18-70 et seq.
- **Original Enactment**: 1959
- **Major Revision**: 2012 (comprehensive reform)"
Georgia,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Hawaii,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Negotiate scope or format to reduce costs
- Seek informal resolution before formal appeal

### Phase 5: Administrative and Judicial Enforcement
**Office of Information Practices (OIP):**
- **Authority**: State agency responsible for UIPA administration
- **Appeals**: Handle appeals of UIPA denials
- **Guidance**: Provide interpretation and compliance assistance
- **Enforcement**: "
Hawaii,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - HRS § 92F-11: Definitions and legislative intent
  - HRS § 92F-12: Public access rights and timelines
  - HRS § 92F-16: Fee provisions
  - HRS § 92F-13: Exemptions from disclosure

### Definitions
- **Agency**: All state and county government agencies, including boards, commissions, and authorities
- **Government Record**: Any information that has been maintained by an agency in written, auditory, visual, electronic, or other physical form
- **Business Days**: Monday through Friday, excludin"
Hawaii,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Hawaii,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - HRS § 92F-12: Public access rights and timelines
  - HRS § 92F-16: Fee provisions
  - HRS § 92F-13: Exemptions from disclosure

### Definitions
- **Agency**: All state and county government agencies, including boards, commissions, and authorities
- **Government Record**: Any information that has been maintained by an agency in written, auditory, visual, electronic, or other physical form
- **Business Days**: Monday through Friday, excluding state holidays
- **Personal Record**: Any item, col"
Hawaii,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Idaho,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Idaho Code § 74-101: Definitions and legislative intent
  - Idaho Code § 74-102: Public access rights and timelines
  - Idaho Code § 74-104: Fee provisions
  - Idaho Code § 74-105: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any writing containing information prepared or owned by a public agency
- **Working Days**: Monday through Friday, excluding state holidays
-"
Idaho,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Idaho Code § 74-102: Public access rights and timelines
  - Idaho Code § 74-104: Fee provisions
  - Idaho Code § 74-105: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any writing containing information prepared or owned by a public agency
- **Working Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide "
Idaho,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Illinois,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"- **Illinois Freedom of Information Act (FOIA)**: 5 ILCS 140/1 et seq.
- **Effective Date**: January 1, 2010 (major revision)
- **Recent Amendments**: 2023 (PA 103-0472 - electronic records and fee limitations)
- **Administrative Rules**: 44 Ill. Admin. Code Part 5 (Attorney General regulations)

### Key Definitions (5 ILCS 140/2)
- **Public Body**: State agencies, local governments, school districts, public universities
- **Public Record**: Any writing, recording, map, book, paper, photograph m"
Illinois,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Illinois,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"### Legislative Intent
- **Presumption of Disclosure**: All records presumed open unless specifically exempt
- **Strict Construction**: Exemptions narrowly interpreted
- **Government Accountability**: Promote public oversight of government operations

---

## Response Timelines

### Standard Response Timeline (5 ILCS 140/3(d))
- **Initial Response**: 5 business days from receipt
- **Extension**: Additional 5 business days for complex requests"
Illinois,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Indiana,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims or timeline
- Seek informal resolution before formal action
- Document interactions for potential legal proceedings

### Phase 5: Legal Enforcement
**Court Action:**
- **Venue**: Indiana circuit or superior court
- **2025 Precedent**: Recent cases showing court willingness to enforce APRA
- **Relief**: Mandamus, injunctive relief, potential attorney fees
- **Standard**: Review of ag"
Indiana,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - IC 5-14-3-1: Definitions and legislative intent
  - IC 5-14-3-3: Public access rights and timelines
  - IC 5-14-3-8: Fee provisions
  - IC 5-14-3-4: Exemptions from disclosure

### **2025 Enforcement Activity**
- **Active Litigation**: Recent cases against agencies for delayed or denied responses
- **Court Enforcement**: 2025 lawsuits highlighting importance of timely compliance
- **Legal Precedent**: Enhanced judicial scrutiny of agency compliance

### Definitions
- **Public Agency**: All s"
Indiana,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - IC 5-14-3-3: Public access rights and timelines
  - IC 5-14-3-8: Fee provisions
  - IC 5-14-3-4: Exemptions from disclosure

### **2025 Enforcement Activity**
- **Active Litigation**: Recent cases against agencies for delayed or denied responses
- **Court Enforcement**: 2025 lawsuits highlighting importance of timely compliance
- **Legal Precedent**: Enhanced judicial scrutiny of agency compliance

### Definitions
- **Public Agency**: All state and local government agencies, including boards"
Indiana,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Iowa,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Recovery for successful plaintiffs
- **Declaratory Judgment**: Clarification of exemption application

### Strategic Advantages
- **IPIB Expertise**: Specialized knowledge of open records law
- **No Cost**: IPIB complaints are free to file
- **Enforcement Power**: Real consequences for non-compliance
- **Precedential Value**: IPIB orders provide guidance for future cases

---
"
Iowa,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Iowa Code § 22.1: Legislative intent and policy
  - Iowa Code § 22.2: Public examination rights and procedures
  - Iowa Code § 22.3: Copying and fee provisions
  - Iowa Code § 22.7: Exemptions and confidential records

### Enforcement and Oversight
- **Iowa Public Information Board (IPIB)**: Independent oversight and enforcement authority
- **IPIB Powers**: Investigate complaints, issue binding orders, assess penalties
- **Advisory Opinions**: Guidance on law interpretation and best practice"
Iowa,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Iowa,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Iowa,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Iowa Code § 22.2: Public examination rights and procedures
  - Iowa Code § 22.3: Copying and fee provisions
  - Iowa Code § 22.7: Exemptions and confidential records

### Enforcement and Oversight
- **Iowa Public Information Board (IPIB)**: Independent oversight and enforcement authority
- **IPIB Powers**: Investigate complaints, issue binding orders, assess penalties
- **Advisory Opinions**: Guidance on law interpretation and best practices
- **Training**: Required education for government "
Iowa,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Kansas,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Negotiate scope or format to reduce costs
- Seek informal resolution before litigation

**Documentation:**
- Preserve all communications with agency
- Document any improper fee charges or delays
- Maintain evidence of public interest in disclosure
- Note any pattern of non-compliance
"
Kansas,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - KSA 45-217: Public access rights
  - KSA 45-218: Response timeline requirements
  - KSA 45-219: Fee provisions
  - KSA 45-221: Exemptions from disclosure
  - KSA 45-222: Enforcement and attorney fees

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any recorded information prepared or possessed by a public agency
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian*"
Kansas,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Kansas,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - KSA 45-218: Response timeline requirements
  - KSA 45-219: Fee provisions
  - KSA 45-221: Exemptions from disclosure
  - KSA 45-222: Enforcement and attorney fees

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any recorded information prepared or possessed by a public agency
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain an"
Kansas,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Kentucky,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Challenge any attempts to hide records on private devices
- Seek informal resolution before formal appeal

### Phase 5: Judicial Enforcement
**Circuit Court Action:**
- **Venue**: Kentucky circuit court where public agency is located
- **Authority**: Court may order compliance with Open Records Act
- ****2025 Precedent**: Supreme Court case may establish binding precedent on priva"
Kentucky,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - KRS 61.870: Definitions and legislative intent
  - KRS 61.872: Public access rights and timelines
  - KRS 61.874: Fee provisions
  - KRS 61.878: Exemptions from disclosure

### **CRITICAL 2025 DEVELOPMENTS**
- **Supreme Court Case**: Kentucky Supreme Court deciding if public officials can hide business on personal devices
- **Legislative Resistance**: Attempts to exempt text messages/communications have failed due to public opposition
- **Broad Interpretation**: Courts maintaining expansive "
Kentucky,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Kentucky,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - KRS 61.872: Public access rights and timelines
  - KRS 61.874: Fee provisions
  - KRS 61.878: Exemptions from disclosure

### **CRITICAL 2025 DEVELOPMENTS**
- **Supreme Court Case**: Kentucky Supreme Court deciding if public officials can hide business on personal devices
- **Legislative Resistance**: Attempts to exempt text messages/communications have failed due to public opposition
- **Broad Interpretation**: Courts maintaining expansive view of public records including digital communicat"
Kentucky,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Louisiana,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims or timeline
- Seek informal resolution before formal action
- Document interactions for potential legal proceedings

### Phase 5: Legal Enforcement
**District Court Action:**
- **Venue**: Louisiana district court where public body located
- **Authority**: Court may order compliance with Public Records Act
- **Relief**: Mandamus, injunctive relief, potential attorney fees
- **Standar"
Louisiana,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - LSA-R.S. 44:1: Definitions and legislative intent
  - LSA-R.S. 44:31: Public access rights and procedures
  - LSA-R.S. 44:32: Fee provisions
  - LSA-R.S. 44:3-30: Specific exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: All books, records, writings, accounts, letters, maps, drawings, photographs, cards, tapes, recordings, or other documentary materials
- **Regular Offic"
Louisiana,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - LSA-R.S. 44:31: Public access rights and procedures
  - LSA-R.S. 44:32: Fee provisions
  - LSA-R.S. 44:3-30: Specific exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: All books, records, writings, accounts, letters, maps, drawings, photographs, cards, tapes, recordings, or other documentary materials
- **Regular Office Hours**: Normal business hours during which agency c"
Louisiana,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Maine,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Public Interest**: Enhanced focus on transparency value
- **Agency Accountability**: Scrutiny of exemption claims
- **Reform Potential**: Possible legislative clarification of exemptions

---

## **2025 CRITICAL DEVELOPMENTS**

### Legislative Investigation
**DHHS Focus**: GOP lawmakers investigating Department of Health and Human Services
**Expanding Scope**: Investigation of FOAA response problems growing
**Bipartisan Concern**: Cross-party interest in transparency issues"
